title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName,,CompanyUrl
Baderie | Woonrijk,4.7,42,Middelmoot 5,Broek op Langedijk,,NL,https://woonrijk.nl/badkamer/,+31 226 335 054,Sanitairwinkel,Badkamerinstallateur,Meubelwinkel,Leverancier van verwarmingsapparatuur,Spiegelwinkel,Douchedeurwinkel,Tegelwinkel,Winkel voor toiletbenodigdheden,,,https://www.google.com/maps/search/?api=1&query=Baderie%20%7C%20Woonrijk&query_place_id=ChIJW9D0dbtWz0cR3iWfqb1tLi0,Sanitairwinkel,,https://www.linkedin.com/company/woonrijk-langedijk/people/
Sanitair Design Center,4.2,64,Scheldestraat 8,Alkmaar,,NL,https://www.sanitairdesigncenter.nl/,+31 72 520 1065,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanitair%20Design%20Center&query_place_id=ChIJbTRgtElWz0cRLAc8kC05XEU,Sanitairwinkel,,https://www.linkedin.com/company/sanitair-design-center
Sanitairwinkel Alkmaar - Badkamers voor elke dag,4.5,224,Koelmalaan 330,Alkmaar,,NL,https://www.sanitairwinkel.nl/showrooms/alkmaar/?utm_source=google&utm_medium=organic&utm_campaign=showroom_alkmaar,+31 72 201 4000,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanitairwinkel%20Alkmaar%20-%20Badkamers%20voor%20elke%20dag&query_place_id=ChIJWSXgo7tXz0cRsIN_RiZzW0Q,Sanitairwinkel,,https://www.linkedin.com/showcase/sanitairwinkel.nl/
Maxaro Hoofddorp - Badkamers & Tegels,4.6,943,Kruisweg 785A,Hoofddorp,,NL,https://www.maxaro.nl/showrooms/hoofddorp/?utm_source=google-places&utm_medium=organic&utm_campaign=mijnbedrijf_hfd,+31 88 205 4700,Sanitairwinkel,Meubelwinkel,Winkel voor bubbelbaden,Douchedeurwinkel,Tegelwinkel,,,,,,https://www.google.com/maps/search/?api=1&query=Maxaro%20Hoofddorp%20-%20Badkamers%20%26%20Tegels&query_place_id=ChIJoZZms2nnxUcRAxSfWaKsebE,Sanitairwinkel,,https://www.linkedin.com/company/maxaro/
Sanidirect Heerhugowaard Alkmaar - Badkamers en tegels,4.4,161,J.J.P. Oudweg 25,Heerhugowaard,,NL,https://www.sanidirect.nl/winkels/heerhugowaard-regio-alkmaar?utm_source=google&utm_medium=gmb&utm_campaign=heerhugowaard,+31 72 204 9990,Sanitairwinkel,Badkamerinstallateur,Douchedeurwinkel,Tegelwinkel,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanidirect%20Heerhugowaard%20Alkmaar%20-%20Badkamers%20en%20tegels&query_place_id=ChIJ11-AsZ1Wz0cRwenCJIOCk4c,Sanitairwinkel,,https://www.linkedin.com/company/sanidirect/
RJS Badkamers,4.8,78,Westfriesedijk,Aartswoud,,NL,http://www.rjsbadkamers.nl/,+31 229 745 434,Badkamerinstallateur,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=RJS%20Badkamers&query_place_id=ChIJkUS2zfatyEcRKsPWGYY1md4,Badkamerinstallateur,,"info@rjsbadkamers.nl

"
Martijn de Wit Vloeren,4.6,101,Witte Paal 323,Schagen,,NL,http://www.martijndewitvloeren.nl/,+31 224 291 090,Vloerenwinkel,Tapijtwinkel,Verwarmingsinstallateur,,,,,,,,https://www.google.com/maps/search/?api=1&query=Martijn%20de%20Wit%20Vloeren&query_place_id=ChIJRdKzqR5Oz0cRZi4s-_PRAaQ,Vloerenwinkel,,https://www.linkedin.com/company/martijn-de-wit-vloeren/
KeukenSucces,4.6,29,Witte Paal 249,Schagen,,NL,https://www.keukensucces.nl/,+31 224 781 010,Keukenwinkel,Keukenvernieuwer,,,,,,,,,https://www.google.com/maps/search/?api=1&query=KeukenSucces&query_place_id=ChIJNz5lGZCtyEcRXSkVxzsg9vY,Keukenwinkel,,https://www.linkedin.com/company/keukensucces
Sanisale Den Helder,4.7,16,Industrieweg 23a,Den Helder,,NL,https://www.sanisale.com/winkels/sanisale-den-helder/,+31 223 769 046,Sanitairwinkel,Badkamerinstallateur,Tegelzetter,Tegelwinkel,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanisale%20Den%20Helder&query_place_id=ChIJM4Rh4yFIz0cRjSS2XoB1wIc,Sanitairwinkel,,https://www.linkedin.com/company/sanisale-bv
Keukensale Schagen,4.7,63,Witte Paal 241 A,Schagen,,NL,https://www.keukensale.com/winkels/keukensale-schagen/,+31 224 769 004,Keukenwinkel,Aanrechtwinkel,Keukenvernieuwer,Koelkastwinkel,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukensale%20Schagen&query_place_id=ChIJ5W0unx5Oz0cRz9K7lDpS3Jk,Keukenwinkel,,https://nl.linkedin.com/company/keukensale
Kroon Keukens en Badkamers,4.6,14,De Wieken 2,Hippolytushoef,,NL,https://www.kroonkeukensenbadkamers.nl/,+31 227 760 060,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kroon%20Keukens%20en%20Badkamers&query_place_id=ChIJHe_HONhKz0cRGLGQGmPzguc,Keukenwinkel,,https://www.linkedin.com/company/kroon-badkamers-b-v
FRM Tegelwerk B.V. tegels en unieke schoonmaakcollectie,4.6,403,Drs. F. Bijlweg 43,Den Helder,,NL,http://frmtegelwerk.nl/,+31 223 759 262,Tegelwinkel,Leverancier van schoonmaakproducten,Tegelzetter,Groothandel,,,,,,,https://www.google.com/maps/search/?api=1&query=FRM%20Tegelwerk%20B.V.%20tegels%20en%20unieke%20schoonmaakcollectie&query_place_id=ChIJwekueQVIz0cRE5ET8UCaZN4,Tegelwinkel,,https://nl.linkedin.com/company/frm-echt-schoon
Grando Keukens | Badkamers Den Helder,4.3,27,Ravelijncenter 29,Den Helder,,NL,https://www.grando.nl/vestigingen/grando-den-helder?utm_source=GMBlisting&utm_medium=organic&utm_campaign=den-helder,+31 223 668 680,Keukenwinkel,Badkamerinstallateur,Keukenvernieuwer,Sanitairwinkel,,,,,,,https://www.google.com/maps/search/?api=1&query=Grando%20Keukens%20%7C%20Badkamers%20Den%20Helder&query_place_id=ChIJfUP8thtIz0cRpAHJfaExZXo,Keukenwinkel,,https://www.linkedin.com/company/grando-keukens-&-bad/
Gerard Wortel | Badkamer Design,5,5,Lagedijkerweg 19 E,Schagen,,NL,http://www.gwbd.nl/,+31 6 25058686,Badkamerinstallateur,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Gerard%20Wortel%20%7C%20Badkamer%20Design&query_place_id=ChIJcyg9-YfLgAUR4wWxS-T4cQU,Badkamerinstallateur,,https://nl.linkedin.com/company/greener-by-design-llc
Tegel Outlet Holland Schagen,4.8,86,De Fok 9,Schagen,,NL,http://www.tegeloutletholland.nl/,+31 6 57891112,Tegelwinkel,Vloerenwinkel,Sanitairwinkel,,,,,,,,https://www.google.com/maps/search/?api=1&query=Tegel%20Outlet%20Holland%20Schagen&query_place_id=ChIJ6WkGulH0yEcRoedKf7EhnzM,Tegelwinkel,,https://nl.linkedin.com/company/tegeloutlet
"Mega Badkamers, Keukens, Tegels & meer | Den Helder",4.4,64,Industrieweg 6,Den Helder,,NL,https://metmega.nl/vestigingen/den-helder,+31 223 637 262,Sanitairwinkel,Vloerenwinkel,Keukenwinkel,Keukenvernieuwer,Kookwinkel,Tegelwinkel,Hout- en laminaatvloerenleverancier,,,,https://www.google.com/maps/search/?api=1&query=Mega%20Badkamers%2C%20Keukens%2C%20Tegels%20%26%20meer%20%7C%20Den%20Helder&query_place_id=ChIJNUlZkRtIz0cRMUziFgOgwlo,Sanitairwinkel,,https://nl.linkedin.com/company/mega-badkamers-keukens-tegels-en-meer
Van den Berg Tegels & Badkamers Schagen,4.6,34,Witte Paal 221,Schagen,,NL,https://vdbergbadkamers.nl/,+31 224 291 203,Sanitairwinkel,Vloerenlegger,Vloerenwinkel,Douchedeurwinkel,Tegelzetter,Tegelwinkel,,,,,https://www.google.com/maps/search/?api=1&query=Van%20den%20Berg%20Tegels%20%26%20Badkamers%20Schagen&query_place_id=ChIJ150ZOOtPz0cRrrU5zAc2r2w,Sanitairwinkel,,https://nl.linkedin.com/company/van-boven-keuken-en-badkamers
Baderie Bleeker / Bleeker Installatiebedrijf,4.6,5,Molenstraat 24,Schagen,,NL,https://www.baderie.nl/showrooms/baderie-bleeker?utm_source=google&utm_medium=organic&utm_campaign=gbp,+31 224 212 512,Installatiebedrijf,Badkamerinstallateur,Verwarmingsinstallateur,Leverancier van verwarmingsapparatuur,Spiegelwinkel,Loodgieter,Sanitairwinkel,Douchedeurwinkel,Tegelwinkel,Winkel voor toiletbenodigdheden,https://www.google.com/maps/search/?api=1&query=Baderie%20Bleeker%20%2F%20Bleeker%20Installatiebedrijf&query_place_id=ChIJV4_TUyNOz0cR0XVG9ZbAftU,Installatiebedrijf,,https://nl.linkedin.com/company/baderie
