title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName,,CompanyUrl,DecisionMakers,CompanyURN
Baderie | Woonrijk,4.7,42,Middelmoot 5,Broek op Langedijk,,NL,https://woonrijk.nl/badkamer/,+31 226 335 054,Sanitairwinkel,Badkamerinstallateur,Meubelwinkel,Leverancier van verwarmingsapparatuur,Spiegelwinkel,Douchedeurwinkel,Tegelwinkel,Winkel voor toiletbenodigdheden,,,https://www.google.com/maps/search/?api=1&query=Baderie%20%7C%20Woonrijk&query_place_id=ChIJW9D0dbtWz0cR3iWfqb1tLi0,Sanitairwinkel,,https://www.linkedin.com/company/woonrijk-langedijk/people/,Martijn Kool (Hoofd financiële administratie) - https://www.linkedin.com/in/mpkool ; Anjo Schuil (Servicemanager detailhandel) - https://www.linkedin.com/in/anjo-schuil-4118ab35 ; U.A.E. Kuiper (Interior Stylist Sales /Buyer) - https://www.linkedin.com/in/ursulakuiper ; Chantal Rooke (Medewerker financiën/order administratie ) - https://www.linkedin.com/in/chantal-rooke-30494b112 ; Marijke Rake (Verkoopleider) - https://www.linkedin.com/in/marijke-rake-592440159,urn:li:organization:2059217
Sanitair Design Center,4.2,64,Scheldestraat 8,Alkmaar,,NL,https://www.sanitairdesigncenter.nl/,+31 72 520 1065,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanitair%20Design%20Center&query_place_id=ChIJbTRgtElWz0cRLAc8kC05XEU,Sanitairwinkel,,https://www.linkedin.com/company/sanitair-design-center,Maurice Schouten (DGA) - https://www.linkedin.com/in/maurice-schouten-7505a231 ; Michael P. (Head of Sales) - https://www.linkedin.com/in/michael-p-1b34b9192 ; Kim Jansen (Marketing Content Specialist) - https://www.linkedin.com/in/kim-jansen-21b917193 ; Ron Zuurbier (Manager/Verkoopspecialist) - https://www.linkedin.com/in/ron-zuurbier-72880827 ; Charissa Priester (Interieur adviseur) - https://www.linkedin.com/in/charissa-priester,urn:li:organization:79578728
Sanitairwinkel Alkmaar - Badkamers voor elke dag,4.5,224,Koelmalaan 330,Alkmaar,,NL,https://www.sanitairwinkel.nl/showrooms/alkmaar/?utm_source=google&utm_medium=organic&utm_campaign=showroom_alkmaar,+31 72 201 4000,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanitairwinkel%20Alkmaar%20-%20Badkamers%20voor%20elke%20dag&query_place_id=ChIJWSXgo7tXz0cRsIN_RiZzW0Q,Sanitairwinkel,,https://www.linkedin.com/showcase/sanitairwinkel.nl/,Nick van der Steen (CFO / Financial Director) - https://www.linkedin.com/in/ncvdsteen ; Erik van Laarhoven (Co owner) - https://www.linkedin.com/in/erik-van-laarhoven-5480a543,
Maxaro Hoofddorp - Badkamers & Tegels,4.6,943,Kruisweg 785A,Hoofddorp,,NL,https://www.maxaro.nl/showrooms/hoofddorp/?utm_source=google-places&utm_medium=organic&utm_campaign=mijnbedrijf_hfd,+31 88 205 4700,Sanitairwinkel,Meubelwinkel,Winkel voor bubbelbaden,Douchedeurwinkel,Tegelwinkel,,,,,,https://www.google.com/maps/search/?api=1&query=Maxaro%20Hoofddorp%20-%20Badkamers%20%26%20Tegels&query_place_id=ChIJoZZms2nnxUcRAxSfWaKsebE,Sanitairwinkel,,https://www.linkedin.com/company/maxaro/,Jeroen Schagen (Chief Operating Officer) - https://www.linkedin.com/in/jeroen-schagen-b68b501b1 ; Rico Sterrenberg (Hoofdverkoper) - https://www.linkedin.com/in/rico-sterrenberg-883883133 ; teiko undefined (Ondernemer) - https://www.linkedin.com/in/teiko-undefined-5426752aa,urn:li:organization:2634126
Sanidirect Heerhugowaard Alkmaar - Badkamers en tegels,4.4,161,J.J.P. Oudweg 25,Heerhugowaard,,NL,https://www.sanidirect.nl/winkels/heerhugowaard-regio-alkmaar?utm_source=google&utm_medium=gmb&utm_campaign=heerhugowaard,+31 72 204 9990,Sanitairwinkel,Badkamerinstallateur,Douchedeurwinkel,Tegelwinkel,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanidirect%20Heerhugowaard%20Alkmaar%20-%20Badkamers%20en%20tegels&query_place_id=ChIJ11-AsZ1Wz0cRwenCJIOCk4c,Sanitairwinkel,,https://www.linkedin.com/company/sanidirect/,Ismail Turkmenoglu (Co-Owner) - https://www.linkedin.com/in/ismailturkmenoglu ; Martijn Meijer (Ondernemer) - https://www.linkedin.com/in/martijn-meijer-0280946b ; Loek UijtdeHaag (Owner sanidirect Breda en Barendrecht.) - https://www.linkedin.com/in/loek-uijtdehaag-824aa055 ; Joseph Woo (Franchise-eigenaar) - https://www.linkedin.com/in/joseph-woo-712852b6 ; Fleur van Dijk (Franchise-eigenaar) - https://www.linkedin.com/in/fleur-van-dijk-058496183,urn:li:organization:36148066
RJS Badkamers,4.8,78,Westfriesedijk,Aartswoud,,NL,http://www.rjsbadkamers.nl/,+31 229 745 434,Badkamerinstallateur,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=RJS%20Badkamers&query_place_id=ChIJkUS2zfatyEcRKsPWGYY1md4,Badkamerinstallateur,,"info@rjsbadkamers.nl

",,
Martijn de Wit Vloeren,4.6,101,Witte Paal 323,Schagen,,NL,http://www.martijndewitvloeren.nl/,+31 224 291 090,Vloerenwinkel,Tapijtwinkel,Verwarmingsinstallateur,,,,,,,,https://www.google.com/maps/search/?api=1&query=Martijn%20de%20Wit%20Vloeren&query_place_id=ChIJRdKzqR5Oz0cRZi4s-_PRAaQ,Vloerenwinkel,,https://www.linkedin.com/company/martijn-de-wit-vloeren/,Martijn De Wit (Eigenaar Martijn de Wit Vloeren) - https://www.linkedin.com/in/martijn-de-wit-667a1272,urn:li:organization:1580819
KeukenSucces,4.6,29,Witte Paal 249,Schagen,,NL,https://www.keukensucces.nl/,+31 224 781 010,Keukenwinkel,Keukenvernieuwer,,,,,,,,,https://www.google.com/maps/search/?api=1&query=KeukenSucces&query_place_id=ChIJNz5lGZCtyEcRXSkVxzsg9vY,Keukenwinkel,,https://www.linkedin.com/company/keukensucces,Bryan Oostindiën (Eigenaar) - https://www.linkedin.com/in/bryan-oostindiën-250285305,urn:li:organization:77467929
Sanisale Den Helder,4.7,16,Industrieweg 23a,Den Helder,,NL,https://www.sanisale.com/winkels/sanisale-den-helder/,+31 223 769 046,Sanitairwinkel,Badkamerinstallateur,Tegelzetter,Tegelwinkel,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanisale%20Den%20Helder&query_place_id=ChIJM4Rh4yFIz0cRjSS2XoB1wIc,Sanitairwinkel,,https://www.linkedin.com/company/sanisale-bv,Louis van der Werff (Eigenaar) - https://www.linkedin.com/in/lkhvanderwerff ; Mathijs Wassink (Eigenaar) - https://www.linkedin.com/in/mathijs-wassink-13b05345 ; Debbie ter Horst (Eigenaar) - https://www.linkedin.com/in/debbie-ter-horst-1b0a4623a ; Marinella Maceo Valk (Ondernemer) - https://www.linkedin.com/in/marinella-maceo-valk-84074182 ; Melvin Van maanen (Owner keukensale.com Almere) - https://www.linkedin.com/in/melvin-van-maanen-2143b485,urn:li:organization:18944996
Keukensale Schagen,4.7,63,Witte Paal 241 A,Schagen,,NL,https://www.keukensale.com/winkels/keukensale-schagen/,+31 224 769 004,Keukenwinkel,Aanrechtwinkel,Keukenvernieuwer,Koelkastwinkel,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukensale%20Schagen&query_place_id=ChIJ5W0unx5Oz0cRz9K7lDpS3Jk,Keukenwinkel,,https://nl.linkedin.com/company/keukensale,Hamza Lalouti (Eigenaar) - https://www.linkedin.com/in/hamza-lalouti-2688bb13a ; Thierry Arnoldus (Owner) - https://www.linkedin.com/in/thierry-arnoldus-46711aa9 ; Tom Korte (Eigenaar) - https://www.linkedin.com/in/tom-korte-36798580 ; Vahid Curt (Company Owner) - https://www.linkedin.com/in/vahid-curt-5a22ab14b ; Teyfik Ozger (Eigenaar) - https://www.linkedin.com/in/teyfik-ozger-275b2990,urn:li:organization:12982836
